"","open","high","low","popen","phigh","plow","range","prange"
"87",0.00229999999999997,0.00180000000000002,0.00280000000000014,0.00190000000000001,0.00160000000000005,0.00269999999999992,0.00669999999999993,0.00560000000000005
"88",0.00190000000000001,0.00160000000000005,0.00269999999999992,-0.0031000000000001,0.00139999999999985,0.00099999999999989,0.00560000000000005,0.00600000000000001
"89",-0.0031000000000001,0.00139999999999985,0.00099999999999989,0.00300000000000011,0.00100000000000011,0.0002000000000002,0.00600000000000001,0.00679999999999992
"90",0.00300000000000011,0.00100000000000011,0.0002000000000002,-0.00209999999999999,-0.00120000000000009,0.00159999999999982,0.00679999999999992,0.004
"91",-0.00209999999999999,-0.00120000000000009,0.00159999999999982,0.00869999999999993,0.00640000000000018,-0.000399999999999956,0.004,0.0108000000000001
"92",0.00869999999999993,0.00640000000000018,-0.000399999999999956,0.000599999999999934,0.00139999999999985,0.00780000000000003,0.0108000000000001,0.00439999999999996
"93",0.000599999999999934,0.00139999999999985,0.00780000000000003,0.004,0.00480000000000014,0.000599999999999934,0.00439999999999996,0.00860000000000016
"94",0.004,0.00480000000000014,0.000599999999999934,-0.00109999999999988,-0.000199999999999978,0.00370000000000004,0.00860000000000016,0.00470000000000015
"95",-0.00109999999999988,-0.000199999999999978,0.00370000000000004,-0.00770000000000004,-0.00290000000000012,-0.0081,0.00470000000000015,0.00990000000000002
"96",-0.00770000000000004,-0.00290000000000012,-0.0081,-0.00409999999999999,-0.00780000000000003,-0.00409999999999999,0.00990000000000002,0.00619999999999998
"97",-0.00409999999999999,-0.00780000000000003,-0.00409999999999999,0.00279999999999991,-0.00129999999999986,-0.00279999999999991,0.00619999999999998,0.00770000000000004
"98",0.00279999999999991,-0.00129999999999986,-0.00279999999999991,-0.00600000000000001,0.000299999999999967,0.000399999999999956,0.00770000000000004,0.00760000000000005
"99",-0.00600000000000001,0.000299999999999967,0.000399999999999956,0.00209999999999999,-0.00330000000000008,-0.000399999999999956,0.00760000000000005,0.00469999999999993
"100",0.00209999999999999,-0.00330000000000008,-0.000399999999999956,-0.00269999999999992,0.00150000000000006,-0.000800000000000134,0.00469999999999993,0.00700000000000012
"101",-0.00269999999999992,0.00150000000000006,-0.000800000000000134,0.00109999999999988,-0.00239999999999996,-0.000499999999999945,0.00700000000000012,0.0051000000000001
"102",0.00109999999999988,-0.00239999999999996,-0.000499999999999945,0.00670000000000015,0.00579999999999981,0.000699999999999923,0.0051000000000001,0.0102
"103",0.00670000000000015,0.00579999999999981,0.000699999999999923,-0.00409999999999999,0.000600000000000156,0.00230000000000019,0.0102,0.00849999999999995
"104",-0.00409999999999999,0.000600000000000156,0.00230000000000019,0.00249999999999995,-0.00270000000000015,-0.000400000000000178,0.00849999999999995,0.00619999999999998
"105",0.00249999999999995,-0.00270000000000015,-0.000400000000000178,-0.00390000000000001,0.00100000000000011,-0.00249999999999995,0.00619999999999998,0.00970000000000004
"106",-0.00390000000000001,0.00100000000000011,-0.00249999999999995,0.00190000000000001,-0.00350000000000006,0.00160000000000005,0.00970000000000004,0.00459999999999994
"107",0.00190000000000001,-0.00350000000000006,0.00160000000000005,-0.0011000000000001,0,0.00130000000000008,0.00459999999999994,0.00329999999999986
"108",-0.0011000000000001,0,0.00130000000000008,0.00120000000000009,0.000900000000000123,9.9999999999989e-05,0.00329999999999986,0.00409999999999999
"109",0.00120000000000009,0.000900000000000123,9.9999999999989e-05,-0.000499999999999945,-9.9999999999989e-05,-0.00140000000000007,0.00409999999999999,0.00540000000000007
"110",-0.000499999999999945,-9.9999999999989e-05,-0.00140000000000007,-0.00460000000000016,0,-0.00249999999999995,0.00540000000000007,0.00790000000000002
"111",-0.00460000000000016,0,-0.00249999999999995,-0.000199999999999978,-0.004,-0.000400000000000178,0.00790000000000002,0.00430000000000019
"112",-0.000199999999999978,-0.004,-0.000400000000000178,-0.00349999999999984,0.000199999999999978,-0.00259999999999994,0.00430000000000019,0.00710000000000011
"113",-0.00349999999999984,0.000199999999999978,-0.00259999999999994,0.00879999999999992,0.00449999999999995,9.9999999999989e-05,0.00710000000000011,0.0115000000000001
