Local time,Open,High,Low,Close,Volume
30.05.2022 01:09:00.000 GMT+0200,1.07291,1.07292,1.07282,1.07282,58.13
30.05.2022 01:10:00.000 GMT+0200,1.07283,1.07287,1.07271,1.07272,131.17
30.05.2022 01:11:00.000 GMT+0200,1.07271,1.07281,1.07270,1.07278,91.68
30.05.2022 01:12:00.000 GMT+0200,1.07280,1.07280,1.07272,1.07274,90
30.05.2022 01:13:00.000 GMT+0200,1.07274,1.07274,1.07266,1.07268,38.98
30.05.2022 01:14:00.000 GMT+0200,1.07271,1.07272,1.07266,1.07270,67.58
30.05.2022 01:15:00.000 GMT+0200,1.07268,1.07269,1.07263,1.07264,140.13
30.05.2022 01:16:00.000 GMT+0200,1.07263,1.07271,1.07263,1.07271,42.3
30.05.2022 01:17:00.000 GMT+0200,1.07270,1.07272,1.07262,1.07263,150.13
30.05.2022 01:18:00.000 GMT+0200,1.07262,1.07271,1.07261,1.07270,93.82
30.05.2022 01:19:00.000 GMT+0200,1.07269,1.07271,1.07262,1.07262,72.08
30.05.2022 01:20:00.000 GMT+0200,1.07263,1.07265,1.07262,1.07263,31.5
30.05.2022 01:21:00.000 GMT+0200,1.07264,1.07265,1.07261,1.07264,54.9
30.05.2022 01:22:00.000 GMT+0200,1.07264,1.07270,1.07262,1.07270,30.6
30.05.2022 01:23:00.000 GMT+0200,1.07269,1.07271,1.07263,1.07267,35.18
30.05.2022 01:24:00.000 GMT+0200,1.07265,1.07265,1.07263,1.07264,9
30.05.2022 01:25:00.000 GMT+0200,1.07265,1.07275,1.07263,1.07265,46.2
30.05.2022 01:26:00.000 GMT+0200,1.07265,1.07270,1.07263,1.07269,22.5
30.05.2022 01:27:00.000 GMT+0200,1.07270,1.07270,1.07266,1.07266,12.6
30.05.2022 01:28:00.000 GMT+0200,1.07268,1.07269,1.07266,1.07269,24.3
30.05.2022 01:29:00.000 GMT+0200,1.07269,1.07269,1.07265,1.07265,20.02
30.05.2022 01:30:00.000 GMT+0200,1.07264,1.07267,1.07263,1.07266,18.27
30.05.2022 01:31:00.000 GMT+0200,1.07267,1.07267,1.07266,1.07267,15.96
30.05.2022 01:32:00.000 GMT+0200,1.07270,1.07275,1.07270,1.07270,46.34
30.05.2022 01:33:00.000 GMT+0200,1.07270,1.07274,1.07270,1.07272,61.24
30.05.2022 01:34:00.000 GMT+0200,1.07272,1.07274,1.07272,1.07274,8.59
30.05.2022 01:35:00.000 GMT+0200,1.07271,1.07271,1.07262,1.07262,49.3
30.05.2022 01:36:00.000 GMT+0200,1.07263,1.07264,1.07262,1.07264,15.3
30.05.2022 01:37:00.000 GMT+0200,1.07265,1.07271,1.07262,1.07269,53.1
30.05.2022 01:38:00.000 GMT+0200,1.07270,1.07276,1.07270,1.07273,59.26
30.05.2022 01:39:00.000 GMT+0200,1.07274,1.07285,1.07273,1.07279,44.55
30.05.2022 01:40:00.000 GMT+0200,1.07277,1.07286,1.07274,1.07285,37.8
30.05.2022 01:41:00.000 GMT+0200,1.07284,1.07293,1.07283,1.07291,45.45
30.05.2022 01:42:00.000 GMT+0200,1.07295,1.07295,1.07276,1.07279,106.28
30.05.2022 01:43:00.000 GMT+0200,1.07276,1.07279,1.07273,1.07276,37.8
30.05.2022 01:44:00.000 GMT+0200,1.07276,1.07284,1.07273,1.07284,38.7
30.05.2022 01:45:00.000 GMT+0200,1.07283,1.07285,1.07280,1.07285,44.18
30.05.2022 01:46:00.000 GMT+0200,1.07283,1.07286,1.07277,1.07285,41.12
30.05.2022 01:47:00.000 GMT+0200,1.07285,1.07285,1.07281,1.07283,22.5
30.05.2022 01:48:00.000 GMT+0200,1.07284,1.07298,1.07284,1.07290,49.68
30.05.2022 01:49:00.000 GMT+0200,1.07291,1.07296,1.07286,1.07288,34.51
30.05.2022 01:50:00.000 GMT+0200,1.07289,1.07292,1.07281,1.07282,74.25
30.05.2022 01:51:00.000 GMT+0200,1.07285,1.07287,1.07283,1.07284,31.26
30.05.2022 01:52:00.000 GMT+0200,1.07284,1.07285,1.07282,1.07283,24.52
30.05.2022 01:53:00.000 GMT+0200,1.07283,1.07286,1.07280,1.07285,32.4
30.05.2022 01:54:00.000 GMT+0200,1.07283,1.07287,1.07282,1.07287,23.48
30.05.2022 01:55:00.000 GMT+0200,1.07285,1.07292,1.07280,1.07290,47.7
30.05.2022 01:56:00.000 GMT+0200,1.07290,1.07314,1.07287,1.07310,104.22
30.05.2022 01:57:00.000 GMT+0200,1.07311,1.07313,1.07301,1.07311,85.19
30.05.2022 01:58:00.000 GMT+0200,1.07310,1.07311,1.07294,1.07296,151.02
